ID,Brand,Model,Cast,Dental,Hex Color,Cure,Delay,Support Layers,Support Cure,Min Temp,Max Temp
1,3D Fila,Translucent Yellow,,,#F6EEC4,12,1,5,65,21,
2,3D-Okay,Black,,,#000000,13,1,8,60,,
3,3D-Okay,Grey,,,#AAAAAA,20,3,4,100,21,
4,3D-Okay,White,,,#FFFFFF,12,2,8,80,,
5,AlphaSense,Castable Green,true,,#008000,25,2,10,70,22,
6,Ameralabs,AMD 3 LED,,,#333333,6,1,8,50,14,
7,Ameralabs,LED black,,,#000000,6,3,6,150,,
8,Anycubic,Aqua Blue,,,#00FFFF,9,1,8,50,18,
9,Anycubic,Basic White,,,#FFFFFF,9,,8,60,19,
10,Anycubic,Black,,,#000000,9,2,8,55,22,
11,Anycubic,Clear,,,#FFFFFFCC,12,1,8,100,22,
12,Anycubic,ECO Blue,,,#ABB7C8,12,5,8,70,23,
13,Anycubic,Eco Grey,,,#DBDAD7,16,,3,30,20,
14,Anycubic,ECO Orange,,,#FFA500,10,1,8,70,24,
15,Anycubic,ECO Pale Green,,,#98FB98,16,5,8,70,20,
16,Anycubic,ECO White,,,#FFFFFF,14,1,8,35,25,
17,Anycubic,Green,,,#008000,11,1,8,50,,
18,Anycubic,Green Translucent,,,#DDFFDD,8,3,6,60,30,
19,Anycubic,Grey,,,#AAAAAA,18,1,8,90,24,
20,Anycubic,Maroon,,,#800000,13,1,3,70,24,
21,Anycubic,Orange,,,#FFA500,15,1,7,100,20,
22,Anycubic,Red,,,#FF0000,16,1,8,60,18,
23,Anycubic,Skin,,,#FFDBAC,10,1,8,65,20,
24,Anycubic,White,,,#FFFFFF,15,4,8,60,20,
25,Anycubic,Yellow Translucent,,,#F4ECC2,8,6.5,8,50,22,
26,B9Creations,B9R-4-Yellow,true,,#FFFF00,32,1,8,80,,
27,Bluecast,X5 Blue Transparent,true,,#0000FF,17,1,10,150,25,
28,Bucktown,EP200-V420-FF Clear,,,#FFFFFFCC,13,1,8,80,32,
29,Detax,Freeprint Splint Crystal Clear,,,#dcf0ef,60,1,8,120,20,
30,Dragon,Model Grey,,,#AAAAAA,14,6.5,8,70,20,
31,Druckwege Typ D,Clear,,,#FFFFFFCC,10,1,8,100,23,
32,Druckwege Typ D,Orange,,,#FFA500,22,2,6,90,,
33,Druckwege Typ D High Temp,Purple,true,,#800080,12,1,8,120,20,
34,Druckwege Typ D Pro,Black,,,#000000,13,1,8,100,23,
35,Druckwege Typ D Pro,Grey,,,#AAAAAA,11,1,6,80,,
36,Elegoo,3D Rapid Resin Gray,,,#808080,12,6.5,8,60,15.5,
37,Elegoo,ABS-Like Rapid Resin LCD Grey,,,#AAAAAA,11,1.5,10,90,21,
38,Elegoo,Black,,,#000000,15,1.5,8,90,22,
39,Elegoo,Clear,,,#FFFFFFCC,17,1,8,60,32,
40,Elegoo,Normal Yellow,,,#FFFF00,13,2,8,85,24,
41,Elegoo,Rapid Resin Grey,,,#AAAAAA,11,5,8,100,15,
42,Elegoo,Standard Blue,,,#0000FF,13,1,3,60,18,
43,Elegoo,Standard Grey,,,#AAAAAA,8,6.5,8,80,20,
44,Elegoo,Standard Red (Translucent),,,#FF0000,15,4.5,8,70,20,
45,Elegoo,Standard Transparent,,,#FFFFFFCC,18,4.5,8,80,15.5,
46,Elegoo,Water Washable Ceramic Grey,,,#DFDDD6,7.5,,6,80,20,
47,Elegoo,Water Washable Photopolymer Ceramic Grey,,,#DFDDD6,8,,3,60,22,
48,Elegoo,White,,,#FFFFFF,14,1.5,8,40,16.6,
49,eSun,BioResin Red,,,#FF0000,8,4.5,4,60,25,
50,eSun,General Purpose Black,,,#000000,10,4.5,4,60,25,
51,eSun,General Purpose Clear,,,#FFFFFFCC,14,7,8,50,21,
52,eSun,Normal Gray,,,#808080,15,6.5,8,60,20,
53,eSun,Normal Grey,,,#808080,12,6.5,12,80,30,
54,eSun,Standard Orange,,,#FFA500,14,,5,100,21,
55,eSun,Water Washable Black,,,#000000,12,7,5,35,25,
56,Form Futura,Platinum LCD series Solid Light Grey,,,#d3d3d3,12,1,4,80,25,
57,Formlabs,High Temp Resin Transparent,,,#FFFFFFCC,44,2,8,120,22,
58,Formlabs,V4 Clear,,,#FFFFFFCC,33,1.5,8,120,,
59,Fun To Do,Ash Grey NxtGen,,,#AAAAAA,8,1.2,8,65,21,
60,Fun To Do,Castable,,,#FF0000,14,2,5,60,,
61,Fun To Do,Clear,,,#FFFFFFCC,10,1,5,50,,
62,Fun To Do,DB,,,#FFFFFFCC,15,2,8,60,,
63,Fun To Do,Deep Black,,,#000000,17,1,6,110,20,
64,Fun To Do,Industrial Black,,,#000000,11,1,8,50,,
65,Fun To Do,Industrial No Colour,,,#FFFFFFCC,14,2,8,35,,
66,Fun To Do,Industrial Red,,,#FF0000,15,2,8,60,,
67,Fun To Do,Industrial Snow White,,,#F4F5E2,10,1,8,50,,
68,Fun To Do,Industrial Unpigmented,,,#FFFFFFCC,10,2,6,50,,
69,Fun To Do,Snow White NxtGen,,,#F4F5E2,25,2,8,50,20,
70,Fun To Do,Standard Red,,,#FF0000,14,2,8,50,14,
71,HARZ Labs,Cast Red,true,,#FF0000,20,1,8,120,,
72,HARZ Labs,MODEL Black,,,#000000,17,1,8,120,22,
73,HARZ Labs,MODEL Cherry,,,#FA1754,16,3,6,120,20,21
74,HARZ Labs,MODEL Grey,,,#AAAAAA,18,3,6,120,,
75,HARZ Labs,MODEL Sand & Natural Clear,,,#FFFFFFCC,18,1,8,80,25,
76,Liqcreate,Clear Impact,,,#FFFFFFCC,27,2,2,170,21,
77,Liqcreate,Premium Black,,,#010203,13,2,2,150,20,
